city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,tenement,73.34,3.0,1.0,4.0,1950.0,53.4332153,14.55197168,1.24,57.0,0.077,0.121,0.225,0.247,0.094,0.704,0.153,condominium,yes,no,no,no,yes,618000
szczecin,blockOfFlats,74.0,3.0,4.0,4.0,1990.0,53.43888924,14.49306965,4.82,7.0,0.455,0.943,0.345,0.181,0.332,2.509,0.349,cooperative,no,yes,no,no,yes,567000
szczecin,Other,97.12,3.0,1.0,1.0,1930.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,yes,no,no,no,no,864368
szczecin,tenement,106.39,5.0,3.0,3.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,no,no,no,599000
szczecin,blockOfFlats,87.6,4.0,4.0,4.0,2010.0,53.45716585,14.58363125,4.04,7.0,0.124,1.228,0.94,0.852,0.162,0.703,0.23,condominium,yes,no,yes,no,no,572000
szczecin,tenement,101.0,3.0,3.0,4.0,1930.0,53.4310784,14.53276289,2.05,30.0,0.26,0.621,0.302,0.463,0.209,0.644,0.186,condominium,no,yes,no,no,yes,559000
szczecin,tenement,49.41,2.0,2.0,4.0,1930.0,53.43586291,14.57452297,1.65,9.0,0.33,1.281,0.222,0.615,0.318,1.118,0.291,condominium,no,no,Other,no,no,319000
szczecin,blockOfFlats,48.7,3.0,4.0,4.0,1980.0,53.4538212,14.6692962,7.93,0.0,,,,4.96,4.806,,4.618,cooperative,no,no,Other,no,no,399000
szczecin,blockOfFlats,63.2,3.0,4.0,5.0,2000.0,53.4579273,14.5808001,4.06,8.0,0.086,1.246,0.773,0.688,0.32,0.551,0.091,cooperative,no,no,no,no,yes,499000
szczecin,blockOfFlats,42.0,2.0,2.0,4.0,1997.0,53.4568488,14.5832816,4.0,7.0,0.105,1.27,0.927,0.87,0.132,0.723,0.244,condominium,no,yes,no,no,yes,345000
szczecin,tenement,104.0,4.0,1.0,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,no,no,yes,670000
szczecin,blockOfFlats,68.15,3.0,,2.0,1930.0,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,condominium,yes,yes,no,no,no,650000
szczecin,tenement,101.0,3.0,3.0,4.0,1930.0,53.4310784,14.53276289,2.05,30.0,0.26,0.621,0.302,0.463,0.209,0.644,0.186,condominium,no,yes,no,no,yes,559000
szczecin,Other,77.86,4.0,4.0,4.0,1991.0,53.42854865,14.5330613,1.94,27.0,0.255,0.69,0.214,0.475,0.184,0.698,0.058,condominium,yes,yes,no,no,yes,480000
szczecin,tenement,61.48,2.0,,3.0,1900.0,53.4915083,14.60698488,8.16,1.0,0.149,1.68,0.534,1.294,1.527,3.72,1.521,condominium,no,no,no,no,yes,390000
szczecin,blockOfFlats,91.0,4.0,,2.0,1934.0,53.4133,14.5771,1.55,0.0,1.733,2.007,1.717,1.734,0.801,2.057,1.286,condominium,yes,yes,no,no,yes,970000
szczecin,blockOfFlats,82.2,4.0,6.0,11.0,1989.0,53.3672643,14.6542581,8.79,8.0,0.378,0.83,0.129,0.304,0.056,,0.032,cooperative,no,yes,yes,no,yes,659000
szczecin,blockOfFlats,51.0,2.0,2.0,4.0,1960.0,53.4133,14.5771,1.55,0.0,1.733,2.007,1.717,1.734,0.801,2.057,1.286,condominium,yes,no,no,no,yes,379000
szczecin,apartmentBuilding,54.18,2.0,1.0,3.0,2009.0,53.4328072,14.5152852,3.2,13.0,0.158,1.214,0.079,0.344,0.064,1.164,0.134,condominium,yes,yes,no,no,yes,585000
szczecin,Other,54.6,2.0,5.0,6.0,2004.0,53.43292,14.53231,2.17,25.0,0.185,0.455,0.182,0.323,0.051,0.531,0.128,condominium,no,yes,no,no,no,519000
szczecin,blockOfFlats,38.0,2.0,3.0,11.0,1980.0,53.4133,14.5771,1.55,0.0,1.733,2.007,1.717,1.734,0.801,2.057,1.286,condominium,no,no,yes,no,no,380000
szczecin,apartmentBuilding,67.52,3.0,1.0,3.0,2017.0,53.3941933,14.4916033,5.63,2.0,2.031,2.967,0.366,2.156,0.375,3.893,0.608,condominium,yes,yes,no,no,yes,699000
szczecin,tenement,34.98,1.0,,4.0,1930.0,53.4263,14.5451,1.1,50.0,0.387,0.227,0.119,0.276,0.107,0.361,0.137,condominium,no,no,no,no,no,325000
szczecin,blockOfFlats,60.0,3.0,2.0,3.0,,53.3668439877463,14.6658340012922,9.37,7.0,0.335,1.442,0.315,0.48,0.415,,0.27,condominium,no,yes,no,no,no,585000
szczecin,tenement,48.08,2.0,4.0,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,Other,no,no,399000
szczecin,Other,46.4,2.0,1.0,4.0,1968.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,cooperative,no,no,Other,no,no,369995
szczecin,Other,100.0,4.0,5.0,5.0,,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,no,no,yes,no,no,599000
szczecin,Other,67.95,3.0,1.0,1.0,,53.4465706,14.51201752,4.14,3.0,0.184,0.617,0.649,0.261,0.524,1.329,0.551,condominium,no,no,Other,no,no,390000
szczecin,blockOfFlats,66.0,3.0,3.0,4.0,2013.0,53.4179653,14.5419201,1.4,9.0,0.067,0.668,0.532,0.479,0.32,0.715,0.251,condominium,yes,yes,yes,no,no,684900
szczecin,Other,71.14,3.0,2.0,3.0,,53.4201,14.5859,1.69,0.0,1.692,2.377,1.858,1.691,1.14,1.907,1.585,condominium,no,no,no,no,yes,475000
szczecin,blockOfFlats,44.05,3.0,2.0,4.0,1980.0,53.4517672,14.5021543,5.01,12.0,0.061,1.089,0.297,0.437,0.303,2.167,0.088,cooperative,no,yes,no,no,yes,479000
szczecin,blockOfFlats,48.0,2.0,3.0,4.0,1970.0,53.399444,14.526111,3.53,8.0,0.109,1.004,0.153,0.178,0.166,2.296,0.141,condominium,no,no,no,no,yes,320000
szczecin,Other,131.29,5.0,,2.0,1930.0,53.3615999,14.6013998,7.38,2.0,0.468,2.799,0.667,0.368,0.706,,0.661,condominium,yes,no,no,no,no,659000
szczecin,blockOfFlats,77.0,3.0,,2.0,1906.0,53.44524123,14.54830179,2.57,15.0,0.517,0.556,0.316,0.275,0.16,1.082,0.081,condominium,no,no,no,no,yes,660000
szczecin,tenement,51.0,2.0,1.0,3.0,,53.43625608,14.56749532,1.49,16.0,0.301,0.822,0.382,0.238,0.119,0.86,0.133,condominium,no,no,no,no,yes,550000
szczecin,tenement,89.6,3.0,5.0,5.0,1950.0,53.4327647,14.5348102,2.02,40.0,0.186,0.4,0.08,0.423,0.017,0.42,0.282,condominium,no,no,yes,no,no,520000
